Annotator_0_Cat|Annotator_1_Cat|Annotator_2_Cat|0_1_Cat_Agr|0_2_Cat_Agr|1_2_Cat_Agr|2/3-Agreem|3/3-Agreem|Int_Ext_Agr|id|sentence/context - better?
Libertarian|Libertarian|0|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|385|Administrative and enforcement considerations are key determinants of the structure of  taxation in all countries. 
Utilitarian|Rawlsian|Utilitarian|FALSE|TRUE|FALSE|TRUE|FALSE|TRUE|340|Administrative and legal tax reform of this kind can, in theory, contain growth in  some parts of the cash economy. 
Deontological|Deontological|Rawlsian|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|31|Advocates claim that fundamental tax reform could boost  growth significantly, slash tax burdens, simplify compliance, and eliminate  the IRS. 
Deontological|Deontological|Deontological|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|2|Advocates of a progressive tax  system argue that the costs of government should be imposed in  proportion to the ability of taxpayers to bear them.' 
Rawlsian|Rawlsian|0|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|618|After all, any other such obligation would constitute a claim by others on  oneâs life, labor, or person. 
Rawlsian|Rawlsian|Utilitarian|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|139|All  constituents are to be treated the same by the government; all are  equal, largely autonomous members of the community. 
Libertarian|Libertarian|Libertarian|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|234|All adults who own property should  pay property taxes. 
Utilitarian|Utilitarian|Utilitarian|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|631|All forms of taxation involve taking money away from individuals and their attitude to giving money to the State will be determined in part by their view of the legitimacy of the taxation process, as, of course, not all things that are legal are moral.
Libertarian|Libertarian|Libertarian|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|43|All in all, there is some weak evidence that the strong positive correlation  between the size of government and tax cheating masks the fact that big government  induces tax cheating while, at the same time, tax cheating constrains big government. 
Deontological|OTHER|Deontological|FALSE|TRUE|FALSE|TRUE|FALSE|TRUE|538|All that matters for the utilitarian is maximizing utility, and by distributing the tax cut across income classes, a previously optimal tax system would no longer be so
Deontological|Rawlsian|Rawlsian|FALSE|FALSE|TRUE|TRUE|FALSE|FALSE|630|"Alternatively, it downplays this aspect of success and failure, ascribing it instead  to ""randomness"" of the markets and life in general. "
Libertarian|0|Utilitarian|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|550|Although some advocates favored  progressivity on the basis of its redistributive powers, most favored it on the equitable grounds that it  based taxation on a citizen's ability to pay. 
Rawlsian|Rawlsian|Utilitarian|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|606|Although the rationales I offer for HE here also offer some information about how we should distribute the burden of taxation, they are much more powerful in the context of very similarly situated taxpayers.
Libertarian|Libertarian|Rawlsian|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|49|An efficient tax  system will minimize the distortion of sound business practices. 
Utilitarian|Utilitarian|Utilitarian|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|573|An endowment tax  treats all these iterations of leisure the same, and taxes them all. 
Procedural|Procedural|Procedural|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|515|An endowment tax reflects a commitment  to equal opportunity because it depends on whether a person  had a greater or lesser opportunity to succeed in the society. 
Procedural|Procedural|Procedural|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|484|An income tax with progressive tax rates, although  far from perfect, most persuasively achieves this balance.' 
Deontological|Deontological|Deontological|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|433|An organic system of taxation should be clear and  cannot treat one taxpayer in a different way from another to take into  account the particular psyche of the individualâ. 
Rawlsian|Rawlsian|Rawlsian|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|137|And   this distribution being equal, everyone has a similar and secure status when   they meet to conduct the common affairs of the wider society. 
Utilitarian|Utilitarian|0|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|450|And taxpayers must be shown that they will be better off in the  bargain. 
Utilitarian|Utilitarian|Utilitarian|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|568|And the tax itself  will achieve the four key goals of simplification; uniform, powerful incentives  for capital formation; progressive distribution of the tax burden; and  economic efficiency. 
Rawlsian|Rawlsian|Utilitarian|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|186|Another common  usage of Moral Philosophy in the context of taxation is by Libertarian  theorists of various stripes where taxation is taken as a violation of  liberty to varying degrees. 
Rawlsian|Rawlsian|Utilitarian|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|112|Any difference in wealth, power, or opportunity - that is, any inequality - is just only if allowing the differences maximizes the live prospects of the least advantaged.
Deontological|Deontological|Deontological|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|7|Any story about the difference principle that supports ability taxation  must also include redistribution to or investment in the least welloff. 
Procedural|Procedural|Procedural|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|494|Apart from growing the aggregate pie, the hope is that such tax breaks will create jobs and opportunities for all citizens and thus improving welfare for everyone, including the worst-off
