Annotator_0_Cat|Annotator_1_Cat|Annotator_2_Cat|0_1_Cat_Agr|0_2_Cat_Agr|1_2_Cat_Agr|2/3-Agreem|3/3-Agreem|Int_Ext_Agr|id|sentence/context - better?
Deontological|Deontological|Deontological|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|244| Economic rewards in the market are both just and good, because they come from satisfying the needs and desires of others. If Shaquille O'Neill becomes obscenely rich, that's because vast numbers of people are willing to pay big bucks to watch him exercise his skills. You may think professional sports are silly, but who are you to tell others what they should want? Redistributive taxation is taking from those who are entitled to market rewards and giving to those who are not. 
Rawlsian|Rawlsian|0|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|498| Hence utilitarians would prefer taxes which will affect people’s well-being positively and will not potentially affect the baseline needed for decent living standards.
Utilitarian|Utilitarian|Utilitarian|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|161| In other words, the utilitarian justification of tax policies is that the amount of money taken from relatively rich people will do them less harm while the same amount of money will do more good to less wealthy people (with les abilities to earn money) thus the consequences will make positive changes in net utility or on overall wellbeing.
Utilitarian|Utilitarian|Utilitarian|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|533| Taxes, therefore, should be imposed by laws; if the sovereign has not issued a command to pay tax, no such obligation exists. The obligation to pay tax – an interference with subjects’ liberty – has to be laid down in a command.
Procedural|Procedural|0|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|104| That is, in the Piketty and Saez (2013a) optimal tax computations, we attempt to solve for the optimal tax rates on labor income and inherited wealth (and/or capital income flows and annual wealth holdings) maximizing the lifetime economic welfare of the social groups receiving little inherited wealth, i.e. their lifetime after-tax monetary resources.
Deontological|Deontological|Rawlsian|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|193|"""For the maintenance of the public force and for the expenses of administration a general tax is indispensable; it ought to be equally apportioned among all the citizens according to their means.'"
Procedural|Procedural|Procedural|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|428|"(""The purpose of these levies and regulations is not to raise revenue  (release resources to government) but gradually and continually to correct the distribution  of wealth to prevent concentrations of power detrimental to the fair value of political liberty  and fair equality of opportunity.""). "
Procedural|0|0|FALSE|FALSE|TRUE|TRUE|FALSE|FALSE|520|(explaining Rawls's view that arbitrary inequalities between individuals are unjust  unless they can be made to serve some non-arbitrary purpose). 
Procedural|Procedural|0|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|344|. .)  Equality of taxation, therefore, as a maxim of politics, means equality of sacrifice. 
Procedural|0|Procedural|FALSE|TRUE|FALSE|TRUE|FALSE|TRUE|517|“horizontal equity”, which relates to the income tax treatment of taxpayers with equal incomes
Rawlsian|Rawlsian|Rawlsian|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|238|0 Arguably, a regressive structure, even  with greater taxation of low income earners or nonearners, is fairest  of all because it rewards those who contribute the most to the  common good or withdraw the least. 
Rawlsian|Rawlsian|Rawlsian|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|258|05   Libertarians are opposed to endowment taxation, but not because it  particularly troubles them; all taxation is akin to slavery for libertarians  because they assign to individuals absolute property rights in all  human production. 
Rawlsian|Rawlsian|Utilitarian|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|574|09  The assumption that each person is entitled to keep what he earns  is cast in doubt. 
Utilitarian|Utilitarian|Utilitarian|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|586|1 Another is horizontal equity, the notion  that similarly situated taxpayers ought to bear equal burdens of  tax, although this obviously would bear on the issue of fairness. 
Utilitarian|Utilitarian|Utilitarian|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|460|15 In an income tax system, horizontal equity mandates that  taxpayers with the same income pay the same amount of taxes. 
Rawlsian|Rawlsian|0|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|554|15 In one of the classic works on tax justice, John Stuart Mill defined a fair tax as one  that produced equal sacrifice. 
Utilitarian|0|0|FALSE|FALSE|TRUE|TRUE|FALSE|FALSE|296|15 In simplified fashion, the difference  principle posits the notion that the gain of the well-off person is  not fair unless it maximizes the benefit of the least well-off person. 
Utilitarian|Utilitarian|Utilitarian|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|610|190 Under this theory, known as a proportionate or flat tax, each taxpayer  would be required to contribute a proportionate percentage of income in taxes. 
