Annotator_0_Cat|Annotator_1_Cat|Annotator_2_Cat|0_1_Cat_Agr|0_2_Cat_Agr|1_2_Cat_Agr|2/3-Agreem|3/3-Agreem|Int_Ext_Agr|id|sentence/context - better?
Rawlsian|0|0|FALSE|FALSE|TRUE|TRUE|FALSE|FALSE|304|Citizens must be able to observe integrity in the way in which the tax  system is designed and operates, and in the way in which the tax authority deals  with citizens and other branches of government. 
Procedural|0|Procedural|FALSE|TRUE|FALSE|TRUE|FALSE|TRUE|516|Clearly the principle of equal sacrifice can be interpreted in three different  ways which allow at least three different taxation techniques. 
Utilitarian|Utilitarian|Utilitarian|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|391|Clearly, where such investment is made in economically  sound enterprises, it does contribute to the country's general economic health. 
Libertarian|Libertarian|Libertarian|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|323|Complicated forms invite opportunities to escape paying taxes  and diminish confidence in government. 
Libertarian|Libertarian|Deontological|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|70|"Consent-based taxation requires that the source for authorization to collect taxes does not reside beyond taxpayers but resides in the citizens themselves. Citizens affected by the adoption of
taxes are represented in parliamentary proceedings, thereby participating in the political process
through which taxes are instituted. In this sense, citizens are not taxed by the government or
the Crown, but rather they tax themselves."
Deontological|Deontological|0|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|14|Consequently,  libertarians usually oppose the kind of large-scale, coercive wealth redistribution in which  contemporary welfare states engage. 
Utilitarian|Libertarian|0|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|558|Consequently, government redistribution of  resources, by taxes or otherwise, represents an unjust taking. 
Procedural|Procedural|0|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|493|Consequently, the  collected revenues will be re-invested in diverse businesses and expand state resources for the  benefit of compatriots. 
Deontological|Utilitarian|Deontological|FALSE|TRUE|FALSE|TRUE|FALSE|TRUE|522|Considering  the distribution of tangible goods only, it is apparent that a maximization  of the expectations of the least advantaged class can lead to a  significant degree of economic disparity. 
Libertarian|Rawlsian|0|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|208|Consumers who purchase the same items at the same price should pay the same sales tax.
Procedural|Procedural|0|TRUE|FALSE|FALSE|TRUE|FALSE|TRUE|198|"David Miller, for instance, responds that it is more plausible to include humanitarian duties in the domain of justice, such that ""justice can take both comparative and non-comparative forms: sometimes it concerns how people are treated relative to one another, sometimes about how they are treated in absolute terms."" "
Procedural|0|Procedural|FALSE|TRUE|FALSE|TRUE|FALSE|TRUE|429|Despite the continued allegiance of tax policy  theorists to internal norms of taxation, those norms must be evaluated  according to the broader criteria applied to the exercise of  coercive government power. 
